Region,Year,Party,Votes,VotesPercentage,TotalSeats
AT,2013,Austrian People's Party (OVP),1125876.0,24.0,47.0
AT,2013,The Greens - The Green Alternative (GRUNE),582657.0,12.4,24.0
AT,2013,The New Austria (NEOS),232946.0,5.0,9.0
AT,2013,Communist Party of Austria (KPO),48175.0,1.0,0.0
AT,2013,Others,11645.0,0.2,0.0
AT,2013,Social Democratic Party of Austria (SPO),1258605.0,26.8,52.0
AT,2013,Freedom Party of Austria (FPO),962313.0,20.5,40.0
AT,2013,Team Stronach (FRANK),268679.0,5.7,11.0
AT,2013,Alliance for the Future of Austria (BZO),165746.0,3.5,0.0
AT,2013,Pirate Party of Austria (PIRAT),36265.0,0.8,0.0
