Region,Year,Party,Votes,VotesPercentage,TotalSeats
BG,2013,Coalition for Bulgaria,942541.0,26.6,84.0
BG,2013,"Coalition ""Attack""",258481.0,7.3,23.0
BG,2013,Bulgaria for Citizens Movement,115190.0,3.3,0.0
BG,2013,IMRO - Bulgarian National Movement,66803.0,1.9,0.0
BG,2013,"Order, Lawfulness, Justice",59145.0,1.7,0.0
BG,2013,Union of Democratic Forces,48681.0,1.4,0.0
BG,2013,Citizens for European Development of Bulgaria,1081605.0,30.5,97.0
BG,2013,Movement for Rights and Freedoms,400466.0,11.3,36.0
BG,2013,National Front for the Salvation of Bulgaria,131169.0,3.7,0.0
BG,2013,Democrats for a Strong Bulgaria,103638.0,2.9,0.0
BG,2013,Lider,61482.0,1.7,0.0
BG,2013,Center - Freedom and Dignity,57611.0,1.6,0.0
BG,2013,Others,215383.0,6.1,0.0
