CH,2007,Registered Electors,4915563,,
CH,2007,Voters,2373071,48.3,
CH,2007,Blank and Invalid Ballots,42688,,
CH,2007,Valid Votes,2330383,,
CH,2007,Swiss People's Party (SVP/UDC),666723,28.9,62
CH,2007,Social Democratic Party of Switzerland (SPS/PSS),450308,19.5,43
CH,2007,Radical Democratic Party (FDP/PRD),363060,15.8,31
CH,2007,Christian Democratic People's Party (CVP/PDC),333527,14.5,31
CH,2007,The Greens - Green Party of Switzerland (GPS/PES),220785,9.6,20
CH,2007,Liberal Party of Switzerland (LPS/PLS),42356,1.8,4
CH,2007,Green Liberal Party (GLP),33104,1.4,3
CH,2007,Evangelical People's Party (EVP/PEV),56362,2.4,2
CH,2007,Federal Democratic Union (EDU/UDF),29549,1.3,1
CH,2007,Swiss Labour Party (PdA/PST),16649,0.7,1
CH,2007,Ticino League (Lega),13031,0.6,1
CH,2007,Christian Social Party (CSP/PCS),9985,0.4,1
CH,2007,Swiss Democrats (SD/DS),12342,0.5,0
CH,2007,Solidarities (Sol.),8670,0.4,0
CH,2007,Alternative List (FGA/AVF),4582,0.2,0
CH,2007,Freedom Party of Switzerland (FPS/PSL),2292,0.1,0
CH,2007,Others,40776,1.8,0
ZH,2007,Registered Electors,844381,,
ZH,2007,Voters,413454,49.0,
ZH,2007,Blank and Invalid Ballots,796,,
ZH,2007,Valid Votes,412658,,
ZH,2007,Swiss People's Party (SVP),139368,33.9,12
ZH,2007,Social Democratic Party of Switzerland (SPS),81394,19.8,7
ZH,2007,Free Democratic Party (FDP),54055,13.2,4
ZH,2007,The Greens - Green Party of Switzerland (GPS),42594,10.4,4
ZH,2007,Christian Democratic People's Party (CVP),31046,7.6,3
ZH,2007,Green Liberal Party (GLP),28805,7.0,3
ZH,2007,Evangelical People's Party (EVP),15126,3.7,1
ZH,2007,Federal Democratic Union (EDU),8705,2.1,0
ZH,2007,Alternative List (FGA),4582,1.1,0
ZH,2007,Swiss Democrats (SD),2220,0.5,0
ZH,2007,Swiss Labour Party (PdA),939,0.2,0
ZH,2007,Christian Social Party (CSP),604,0.1,0
ZH,2007,Freedom Party of Switzerland (FPS),330,0.1,0
ZH,2007,Others,1139,0.3,0
BE,2007,Registered Electors,700435,,
BE,2007,Voters,325042,46.4,
BE,2007,Blank and Invalid Ballots,2788,,
BE,2007,Valid Votes,322254,,
BE,2007,Swiss People's Party (SVP),106986,33.6,10
BE,2007,Social Democratic Party of Switzerland (SPS),67475,21.2,6
BE,2007,Free Democratic Party (FDP),48155,15.1,4
BE,2007,The Greens - Green Party of Switzerland (GPS),41067,12.9,3
BE,2007,Evangelical People's Party (EVP),17328,5.4,1
BE,2007,Christian Democratic People's Party (CVP),15130,4.7,1
BE,2007,Federal Democratic Union (EDU),11315,3.6,1
BE,2007,Swiss Democrats (SD),4889,1.5,0
BE,2007,Freedom Party of Switzerland (FPS),1962,0.6,0
BE,2007,Others,4251,1.3,0
LU,2007,Registered Electors,247330,,
LU,2007,Voters,131062,53.0,
LU,2007,Blank and Invalid Ballots,2206,,
LU,2007,Valid Votes,128856,,
LU,2007,Christian Democratic People's Party (CVP),38582,30.2,3
LU,2007,Swiss People's Party (SVP),32263,25.3,3
LU,2007,Free Democratic Party (FDP),27848,21.8,2
LU,2007,Social Democratic Party of Switzerland (SPS),14667,11.5,1
LU,2007,The Greens - Green Party of Switzerland (GPS),12079,9.5,1
LU,2007,Evangelical People's Party (EVP),956,0.7,0
LU,2007,Others,1269,1.0,0
UR,2007,Registered Electors,25742,,
UR,2007,Voters,6206,24.1,
UR,2007,Blank and Invalid Ballots,1018,,
UR,2007,Valid Votes,5188,,
UR,2007,Free Democratic Party (FDP),4527,87.3,1
UR,2007,Others,661,12.7,0
SZ,2007,Registered Electors,94048,,
SZ,2007,Voters,49198,52.3,
SZ,2007,Blank and Invalid Ballots,2208,,
SZ,2007,Valid Votes,46990,,
SZ,2007,Swiss People's Party (SVP),21081,45.0,2
SZ,2007,Christian Democratic People's Party (CVP),9424,20.1,1
SZ,2007,Social Democratic Party of Switzerland (SPS),6524,13.9,1
SZ,2007,Free Democratic Party (FDP),7845,16.7,0
SZ,2007,The Greens - Green Party of Switzerland (GPS),1571,3.4,0
SZ,2007,Evangelical People's Party (EVP),443,0.9,0
OW,2007,Registered Electors,23903,,
OW,2007,Voters,14274,59.7,
OW,2007,Blank and Invalid Ballots,545,,
OW,2007,Valid Votes,13729,,
OW,2007,Swiss People's Party (SVP),4523,32.9,1
OW,2007,Christian Democratic People's Party (CVP),4462,32.5,0
OW,2007,Social Democratic Party of Switzerland (SPS),1589,11.6,0
OW,2007,Others,3155,23.0,0
