Region,Year,Party,FirstRoundVotes,FirstRoundPercentage,FirstRoundSeats,SecondRoundVotes,SecondRoundPercentage,SecondRoundSeats,TotalSeats
FR,2007,Socialist Party (PS),6436521.0,24.7,1.0,8624472.0,42.3,185.0,186.0
FR,2007,French Communist Party (PCF),1115663.0,4.3,0.0,464739.0,2.3,15.0,15.0
FR,2007,The Greens,845977.0,3.3,0.0,90975.0,0.4,4.0,4.0
FR,2007,Movement for France (MPF),312581.0,1.2,1.0,0.0,0.0,0.0,1.0
FR,2007,"Hunting, Fishing, Nature and Traditions (CPNT)",213427.0,0.8,0.0,0.0,0.0,0.0,0.0
FR,2007,Other left-wing parties,513407.0,2.0,0.0,503556.0,2.5,15.0,15.0
FR,2007,Union for a Popular Movement (UMP),10289737.0,39.5,98.0,9461087.0,46.4,215.0,313.0
FR,2007,Presidential Majority,616440.0,2.4,8.0,433057.0,2.1,14.0,22.0
FR,2007,Left Radical Party (PRG),343565.0,1.3,0.0,333194.0,1.6,7.0,7.0
FR,2007,UDF-Democratic Movement (MoDem),1981107.0,7.6,0.0,100115.0,0.5,3.0,3.0
FR,2007,National Front (FN),1116136.0,4.3,0.0,17107.0,0.1,0.0,0.0
FR,2007,Other right-wing parties,641842.0,2.5,2.0,238588.0,1.2,7.0,9.0
FR,2007,Others,1600063.0,6.1,0.0,139552.0,0.7,2.0,2.0
