Region,Year,Party,FirstRoundVotes,FirstRoundPercentage,FirstRoundSeats,SecondRoundVotes,SecondRoundPercentage,SecondRoundSeats,TotalSeats
FR,2017,The Republicans (LR),3573427.0,15.8,0.0,4040203.0,22.2,112.0,112.0
FR,2017,Socialist Party (PS),1685677.0,7.4,0.0,1032842.0,5.7,30.0,30.0
FR,2017,La France Insoumise (FI),2497622.0,11.0,0.0,883573.0,4.9,17.0,17.0
FR,2017,National Front (FN),2990454.0,13.2,0.0,1590869.0,8.8,8.0,8.0
FR,2017,Ecologists,973527.0,4.3,0.0,23197.0,0.1,1.0,1.0
FR,2017,Other right-wing parties,625345.0,2.8,0.0,306074.0,1.7,6.0,6.0
FR,2017,Others,947892.0,4.2,0.0,257098.0,1.4,9.0,9.0
FR,2017,La Republique En Marche! (REM),6391269.0,28.2,2.0,7826245.0,43.1,306.0,308.0
FR,2017,Democratic Movement (MoDem),932227.0,4.1,0.0,1100656.0,6.1,42.0,42.0
FR,2017,Union of Democrats and Independents (UDI),687225.0,3.0,1.0,551784.0,3.0,17.0,18.0
FR,2017,French Communist Party (PCF),615487.0,2.7,0.0,217833.0,1.2,10.0,10.0
FR,2017,Left Radical Party (PRG),106311.0,0.5,0.0,64860.0,0.4,3.0,3.0
FR,2017,Debout la France (DLF),265420.0,1.2,0.0,17344.0,0.1,1.0,1.0
FR,2017,Other left-wing parties,362281.0,1.6,1.0,263488.0,1.4,11.0,12.0
