,2000,Registered Electors,9372541,,
,2000,Voters,7026527,75.0,
,2000,Blank and Invalid Votes,158516,2.3,
,2000,Valid Votes,6868011,97.7,
,2000,Pan Hellenic Socialist Movement (PASOK),3007596,43.8,158
,2000,New Democracy (ND),2935196,42.7,125
,2000,Communist Party of Greece (KKE),379454,5.5,11
,2000,Coalition of the Left and Progress (SYN),219880,3.2,6
,2000,Democratic Social Movement (DHKKI),184598,2.7,0
,2000,Others,141287,2.1,0
01,2000,Registered Electors,171007,,
01,2000,Voters,114807,67.1,
01,2000,Blank and Invalid Votes,2571,2.2,
01,2000,Valid Votes,112236,97.8,
01,2000,New Democracy (ND),52734,47.0,2
01,2000,Pan Hellenic Socialist Movement (PASOK),49621,44.2,2
01,2000,Communist Party of Greece (KKE),2943,2.6,0
01,2000,Democratic Social Movement (DHKKI),1743,1.6,0
01,2000,Coalition of the Left and Progress (SYN),1220,1.1,0
01,2000,Others,3975,3.5,0
02,2000,Registered Electors,108343,,
02,2000,Voters,76825,70.9,
02,2000,Blank and Invalid Votes,1848,2.4,
02,2000,Valid Votes,74977,97.6,
02,2000,Pan Hellenic Socialist Movement (PASOK),37266,49.7,2
02,2000,New Democracy (ND),27348,36.5,1
02,2000,Coalition of the Left and Progress (SYN),5237,7.0,0
02,2000,Communist Party of Greece (KKE),1895,2.5,0
02,2000,Democratic Social Movement (DHKKI),1720,2.3,0
02,2000,Others,1511,2.0,0
03,2000,Registered Electors,97670,,
03,2000,Voters,69633,71.3,
03,2000,Blank and Invalid Votes,1797,2.6,
03,2000,Valid Votes,67836,97.4,
03,2000,Pan Hellenic Socialist Movement (PASOK),30178,44.5,2
03,2000,New Democracy (ND),32240,47.5,1
03,2000,Democratic Social Movement (DHKKI),1438,2.1,0
03,2000,Coalition of the Left and Progress (SYN),1229,1.8,0
03,2000,Communist Party of Greece (KKE),1211,1.8,0
03,2000,Others,1540,2.3,0
04,2000,Registered Electors,114490,,
04,2000,Voters,84654,73.9,
04,2000,Blank and Invalid Votes,1600,1.9,
04,2000,Valid Votes,83054,98.1,
04,2000,New Democracy (ND),42000,50.6,2
04,2000,Pan Hellenic Socialist Movement (PASOK),34122,41.1,1
04,2000,Communist Party of Greece (KKE),2025,2.4,0
04,2000,Democratic Social Movement (DHKKI),1698,2.0,0
04,2000,Coalition of the Left and Progress (SYN),1257,1.5,0
04,2000,Others,1952,2.4,0
05,2000,Registered Electors,144808,,
05,2000,Voters,109405,75.6,
05,2000,Blank and Invalid Votes,2726,2.5,
05,2000,Valid Votes,106679,97.5,
05,2000,New Democracy (ND),49545,46.4,2
05,2000,Pan Hellenic Socialist Movement (PASOK),44824,42.0,2
05,2000,Communist Party of Greece (KKE),4586,4.3,0
05,2000,Democratic Social Movement (DHKKI),3361,3.2,0
05,2000,Coalition of the Left and Progress (SYN),2499,2.3,0
05,2000,Others,1864,1.7,0
06,2000,Registered Electors,423159,,
06,2000,Voters,347253,82.1,
06,2000,Blank and Invalid Votes,10823,3.1,
06,2000,Valid Votes,336430,96.9,
06,2000,Pan Hellenic Socialist Movement (PASOK),140823,41.9,7
06,2000,New Democracy (ND),139995,41.6,5
06,2000,Communist Party of Greece (KKE),22590,6.7,1
06,2000,Coalition of the Left and Progress (SYN),12276,3.6,1
06,2000,Democratic Social Movement (DHKKI),10274,3.1,0
06,2000,Others,10472,3.1,0
07,2000,Registered Electors,217264,,
07,2000,Voters,191681,88.2,
07,2000,Blank and Invalid Votes,4076,2.1,
07,2000,Valid Votes,187605,97.9,
07,2000,Pan Hellenic Socialist Movement (PASOK),74711,39.8,4
07,2000,New Democracy (ND),89483,47.7,2
07,2000,Communist Party of Greece (KKE),9636,5.1,1
07,2000,Democratic Social Movement (DHKKI),5646,3.0,0
07,2000,Coalition of the Left and Progress (SYN),4470,2.4,0
07,2000,Others,3659,2.0,0
08,2000,Registered Electors,241332,,
08,2000,Voters,184621,76.5,
08,2000,Blank and Invalid Votes,4093,2.2,
08,2000,Valid Votes,180528,97.8,
08,2000,New Democracy (ND),96994,53.7,5
08,2000,Pan Hellenic Socialist Movement (PASOK),66776,37.0,2
08,2000,Communist Party of Greece (KKE),6517,3.6,0
08,2000,Democratic Social Movement (DHKKI),4114,2.3,0
08,2000,Coalition of the Left and Progress (SYN),3356,1.9,0
08,2000,Others,2771,1.5,0
09,2000,Registered Electors,96621,,
09,2000,Voters,78814,81.6,
09,2000,Blank and Invalid Votes,1625,2.1,
09,2000,Valid Votes,77189,97.9,
09,2000,New Democracy (ND),38630,50.0,2
09,2000,Pan Hellenic Socialist Movement (PASOK),31286,40.5,1
09,2000,Communist Party of Greece (KKE),2229,2.9,0
09,2000,Democratic Social Movement (DHKKI),2082,2.7,0
09,2000,Coalition of the Left and Progress (SYN),1752,2.3,0
09,2000,Others,1210,1.6,0
10,2000,Registered Electors,121052,,
10,2000,Voters,84051,69.4,
10,2000,Blank and Invalid Votes,1473,1.8,
10,2000,Valid Votes,82578,98.2,
10,2000,New Democracy (ND),41463,50.2,2
10,2000,Pan Hellenic Socialist Movement (PASOK),30979,37.5,1
10,2000,Communist Party of Greece (KKE),5061,6.1,0
10,2000,Democratic Social Movement (DHKKI),1905,2.3,0
10,2000,Coalition of the Left and Progress (SYN),1531,1.9,0
10,2000,Others,1639,2.0,0
11,2000,Registered Electors,147143,,
11,2000,Voters,117555,79.9,
11,2000,Blank and Invalid Votes,2068,1.8,
11,2000,Valid Votes,115487,98.2,
11,2000,New Democracy (ND),56031,48.5,3
