Region,Year,Party,FirstRoundVotes,FirstRoundVotesPercentage,SecondRoundVotes,SecondRoundVotesPercentage,SingleMemberSeats,ListVotes,ListVotesPercentage,ListSeats,NationalListSeats,TotalSeats
,2006,Registered Electors,8046129,,5059002,,,8046129,,,,
,2006,Voters,5457553,67.8,3257244,64.4,,5457553,67.8,,,
,2006,Invalid Ballots,51402,0.9,16992,0.5,,47302,0.9,,,
,2006,Valid Votes,5403675,99.1,3239752,99.5,,5408050,99.1,,,
,2006,Hungarian Socialist Party (MSZP),2175312,40.3,1510360,46.6,98,2336705,43.2,71,17,186
,2006,Fidesz-Hungarian Civic Union-KDNP,2269241,42.0,1511426,46.7,68,2272979,42.0,69,27,164
,2006,Alliance of Free Democrats (SZDSZ),340746,6.3,64501,2.0,3,351612,6.5,4,11,18
,2006,Hungarian Democratic Forum (MDF),238566,4.4,16364,0.5,0,272831,5.0,2,9,11
,2006,MSZP-SZDSZ joint candidates,154619,2.9,72802,2.2,6,-,-,-,-,6
,2006,Association for Somogy,9457,0.2,13801,0.4,1,-,-,-,-,1
,2006,MI&Eacute;P-Jobbik Third Way Alliance of Parties,92798,1.7,231,0.0,0,119007,2.2,0,0,0
,2006,MDF-Fidesz-KDNP joint candidates,34109,0.6,33029,1.0,0,-,-,-,-,0
,2006,MDF-Others joint candidates,14838,0.3,3640,0.1,0,-,-,-,-,0
,2006,Others,73989,1.4,13598,0.4,0,54916,1.0,0,0,0
01,2006,Registered Electors,1379459,,853673,,,1379459,,,,
01,2006,Voters,1025304,74.3,603882,70.7,,1025304,74.3,,,
01,2006,Invalid Ballots,10192,1.0,2770,0.5,,8098,0.8,,,
01,2006,Valid Votes,1014474,99.0,600920,99.5,,1016669,99.2,,,
01,2006,Hungarian Socialist Party (MSZP),452167,44.6,294436,49.0,26,445059,43.8,13,,39
01,2006,Fidesz-Hungarian Civic Union-KDNP,363847,35.9,266534,44.4,4,356982,35.1,10,,14
01,2006,Alliance of Free Democrats (SZDSZ),118165,11.6,39188,6.5,2,124887,12.3,3,,5
01,2006,Hungarian Democratic Forum (MDF),48435,4.8,762,0.1,0,53908,5.3,1,,1
01,2006,MI&Eacute;P-Jobbik Third Way Alliance of Parties,24367,2.4,-,-,0,29506,2.9,0,,0
01,2006,Others,7493,0.7,-,-,0,6327,0.6,0,,0
02,2006,Registered Electors,322455,,184471,,,322455,,,,
02,2006,Voters,219262,68.0,115583,62.7,,219262,68.0,,,
02,2006,Invalid Ballots,2100,1.0,579,0.5,,2140,1.0,,,
02,2006,Valid Votes,217053,99.0,114987,99.5,,217011,99.0,,,
02,2006,Hungarian Socialist Party (MSZP),104678,48.2,60077,52.2,6,104865,48.3,3,,9
02,2006,Fidesz-Hungarian Civic Union-KDNP,83032,38.3,54910,47.8,1,83132,38.3,3,,4
02,2006,Alliance of Free Democrats (SZDSZ),12150,5.6,-,-,0,12368,5.7,0,,0
02,2006,Hungarian Democratic Forum (MDF),12323,5.7,-,-,0,11069,5.1,0,,0
02,2006,MI&Eacute;P-Jobbik Third Way Alliance of Parties,860,0.4,-,-,0,2783,1.3,0,,0
02,2006,Others,4010,1.8,-,-,0,2794,1.3,0,,0
03,2006,Registered Electors,432280,,299007,,,432280,,,,
03,2006,Voters,276295,63.9,185253,62.0,,276295,63.9,,,
03,2006,Invalid Ballots,2750,1.0,837,0.5,,2509,0.9,,,
03,2006,Valid Votes,273426,99.0,184396,99.5,,273647,99.1,,,
03,2006,Fidesz-Hungarian Civic Union-KDNP,134178,49.1,94208,51.1,9,136252,49.8,4,,13
03,2006,Hungarian Socialist Party (MSZP),76556,28.0,61886,33.6,1,101502,37.1,3,,4
03,2006,MSZP-SZDSZ joint candidates,27265,10.0,26084,14.1,0,-,-,-,,0
03,2006,Hungarian Democratic Forum (MDF),12904,4.7,2218,1.2,0,14017,5.1,0,,0
03,2006,Alliance of Free Democrats (SZDSZ),14721,5.4,-,-,0,13501,4.9,0,,0
03,2006,MI&Eacute;P-Jobbik Third Way Alliance of Parties,4328,1.6,-,-,0,5142,1.9,0,,0
03,2006,Others,3474,1.3,-,-,0,3233,1.2,0,,0
04,2006,Registered Electors,311597,,273454,,,311597,,,,
04,2006,Voters,200239,64.3,166349,60.8,,200239,64.3,,,
04,2006,Invalid Ballots,2062,1.0,957,0.6,,1975,1.0,,,
04,2006,Valid Votes,198100,99.0,165378,99.4,,198209,99.0,,,
04,2006,Hungarian Socialist Party (MSZP),80606,40.7,84657,51.2,5,86679,43.7,3,,8
04,2006,Fidesz-Hungarian Civic Union-KDNP,85828,43.3,79350,48.0,2,85144,43.0,3,,5
04,2006,Hungarian Democratic Forum (MDF),10094,5.1,1371,0.8,0,9607,4.8,0,,0
04,2006,Alliance of Free Democrats (SZDSZ),13413,6.8,-,-,0,8856,4.5,0,,0
04,2006,MI&Eacute;P-Jobbik Third Way Alliance of Parties,1708,0.9,-,-,0,3236,1.6,0,,0
04,2006,MDF-Others joint candidates,1166,0.6,-,-,0,-,-,-,,0
04,2006,Others,5285,2.7,-,-,0,4687,2.4,0,,0
05,2006,Registered Electors,571141,,132669,,,571141,,,,
05,2006,Voters,364876,63.9,81922,61.7,,364876,63.9,,,
05,2006,Invalid Ballots,3330,0.9,583,0.7,,3197,0.9,,,
05,2006,Valid Votes,361391,99.1,81326,99.3,,361558,99.1,,,
05,2006,Hungarian Socialist Party (MSZP),182391,50.5,40512,49.8,10,184166,50.9,6,,16
05,2006,Fidesz-Hungarian Civic Union-KDNP,144592,40.0,39986,49.2,3,138058,38.2,4,,7
05,2006,Alliance of Free Democrats (SZDSZ),13634,3.8,-,-,0,13986,3.9,0,,0
05,2006,Hungarian Democratic Forum (MDF),10519,2.9,828,1.0,0,13865,3.8,0,,0
05,2006,MI&Eacute;P-Jobbik Third Way Alliance of Parties,6330,1.8,-,-,0,8325,2.3,0,,0
05,2006,Others,3925,1.1,-,-,0,3158,0.9,0,,0
06,2006,Registered Electors,337890,,107803,,,337890,,,,
06,2006,Voters,223877,66.3,68492,63.5,,223877,66.3,,,
06,2006,Invalid Ballots,2562,1.1,315,0.5,,2328,1.0,,,
06,2006,Valid Votes,221206,98.9,68160,99.5,,221422,99.0,,,
06,2006,Hungarian Socialist Party (MSZP),40433,18.3,-,-,2,97772,44.2,3,,5
06,2006,Fidesz-Hungarian Civic Union-KDNP,94395,42.7,35102,51.5,2,92628,41.8,3,,5
06,2006,MSZP-SZDSZ joint candidates,62195,28.1,19460,28.6,3,-,-,-,,3
06,2006,Alliance of Free Democrats (SZDSZ),3692,1.7,-,-,0,11722,5.3,0,,0
06,2006,Hungarian Democratic Forum (MDF),6563,3.0,-,-,0,10782,4.9,0,,0
06,2006,MI&Eacute;P-Jobbik Third Way Alliance of Parties,1207,0.5,-,-,0,3591,1.6,0,,0
06,2006,Others,12721,5.8,13598,20.0,0,4927,2.2,0,,0
07,2006,Registered Electors,342728,,248674,,,342728,,,,
07,2006,Voters,229113,66.8,151537,60.9,,229113,66.8,,,
07,2006,Invalid Ballots,1856,0.8,734,0.5,,1627,0.7,,,
07,2006,Valid Votes,227167,99.2,150781,99.5,,227405,99.3,,,
07,2006,Fidesz-Hungarian Civic Union-KDNP,97450,42.9,70577,46.8,4,97199,42.7,3,,7
07,2006,Hungarian Socialist Party (MSZP),98373,43.3,77855,51.6,3,98202,43.2,3,,6
07,2006,Alliance of Free Democrats (SZDSZ),13946,6.1,-,-,0,13465,5.9,0,,0
07,2006,Hungarian Democratic Forum (MDF),11965,5.3,2349,1.6,0,12465,5.5,0,,0
07,2006,MI&Eacute;P-Jobbik Third Way Alliance of Parties,3120,1.4,-,-,0,4294,1.9,0,,0
07,2006,Others,2313,1.0,-,-,0,1780,0.8,0,,0
08,2006,Registered Electors,353498,,202725,,,353498,,,,
08,2006,Voters,250063,70.7,135758,67.0,,250063,70.7,,,
08,2006,Invalid Ballots,1845,0.7,568,0.4,,1819,0.7,,,
08,2006,Valid Votes,248099,99.3,135166,99.6,,248158,99.3,,,
08,2006,Fidesz-Hungarian Civic Union-KDNP,123929,50.0,67084,49.6,5,121603,49.0,3,,8
08,2006,Hungarian Socialist Party (MSZP),93830,37.8,67256,49.8,2,93360,37.6,2,,4
08,2006,Hungarian Democratic Forum (MDF),14471,5.8,826,0.6,0,13957,5.6,0,,0
08,2006,Alliance of Free Democrats (SZDSZ),10844,4.4,-,-,0,12198,4.9,0,,0
08,2006,MI&Eacute;P-Jobbik Third Way Alliance of Parties,3480,1.4,-,-,0,4775,1.9,0,,0
08,2006,Others,1545,0.6,-,-,0,2265,0.9,0,,0
09,2006,Registered Electors,430825,,215931,,,430825,,,,
09,2006,Voters,278589,64.7,133461,61.8,,278589,64.7,,,
09,2006,Invalid Ballots,2512,0.9,881,0.7,,2606,0.9,,,
09,2006,Valid Votes,275956,99.1,132567,99.3,,275849,99.1,,,
09,2006,Fidesz-Hungarian Civic Union-KDNP,135263,49.0,66144,49.9,6,131592,47.7,4,,10
09,2006,Hungarian Socialist Party (MSZP),108427,39.3,65946,49.7,3,109561,39.7,3,,6
09,2006,Hungarian Democratic Forum (MDF),13901,5.0,477,0.4,0,14830,5.4,0,,0
09,2006,Alliance of Free Democrats (SZDSZ),11442,4.1,-,-,0,10891,3.9,0,,0
09,2006,MI&Eacute;P-Jobbik Third Way Alliance of Parties,4027,1.5,-,-,0,5628,2.0,0,,0
09,2006,Others,2896,1.0,-,-,0,3347,1.2,0,,0
10,2006,Registered Electors,258788,,173060,,,258788,,,,
10,2006,Voters,172144,66.5,112399,64.9,,172144,66.5,,,
10,2006,Invalid Ballots,1498,0.9,584,0.5,,1654,1.0,,,
10,2006,Valid Votes,170554,99.1,111799,99.5,,170401,99.0,,,
10,2006,Hungarian Socialist Party (MSZP),85651,50.2,62222,55.7,6,83814,49.2,3,,9
10,2006,Fidesz-Hungarian Civic Union-KDNP,61798,36.2,49053,43.9,0,63320,37.2,2,,2
10,2006,Alliance of Free Democrats (SZDSZ),8575,5.0,-,-,0,8736,5.1,0,,0
10,2006,Hungarian Democratic Forum (MDF),6719,3.9,524,0.5,0,7560,4.4,0,,0
10,2006,MI&Eacute;P-Jobbik Third Way Alliance of Parties,5584,3.3,-,-,0,5115,3.0,0,,0
10,2006,Others,2227,1.3,-,-,0,1856,1.1,0,,0
11,2006,Registered Electors,326580,,209755,,,326580,,,,
11,2006,Voters,204374,62.6,124635,59.4,,204374,62.6,,,
11,2006,Invalid Ballots,2287,1.1,684,0.5,,2066,1.0,,,
11,2006,Valid Votes,202013,98.9,123940,99.5,,202226,99.0,,,
11,2006,Hungarian Socialist Party (MSZP),93922,46.5,68838,55.5,7,95042,47.0,3,,10
11,2006,Fidesz-Hungarian Civic Union-KDNP,82954,41.1,54352,43.9,1,80373,39.7,3,,4
