Region,Year,Party,FirstRoundVotes,FirstRoundVotesPercentage,SecondRoundVotes,SecondRoundVotesPercentage,SingleMemberSeats,ListVotes,ListVotesPercentage,ListSeats,NationalListSeats,TotalSeats
,2014,Registered Electors,8047769,,,,,8241488,,,,
,2014,Voters,4967881,61.7,,,,5096524,61.8,,,
,2014,Invalid Ballots,54728,1.1,,,,46173,0.9,,,
,2014,Valid Votes,4908608,98.9,,,,5047363,99.1,,,
,2014,Fidesz-Hungarian Civic Union-KDNP,2165342,44.1,,,96,2264780,44.9,,37,133
,2014,Unity (MSZP-EGY&Uuml;TT-DK-PM-MLP),1317879,26.8,,,10,1290806,25.6,,28,38
,2014,Movement for a Better Hungary (Jobbik),1000637,20.4,,,0,1020476,20.2,,23,23
,2014,Politics Can Be Different (LMP),244191,5.0,,,0,269414,5.3,,5,5
,2014,Others,180559,3.7,,,0,201887,4.0,,0,0
01,2014,Registered Electors,1353395,,,,,1353377,,,,
01,2014,Voters,928967,68.6,,,,928963,68.6,,,
01,2014,Invalid Ballots,8200,0.9,,,,6951,0.7,,,
01,2014,Valid Votes,919260,99.1,,,,920996,99.3,,,
01,2014,Fidesz-Hungarian Civic Union-KDNP,361888,39.4,,,10,354408,38.5,,,10
01,2014,Unity (MSZP-EGY&Uuml;TT-DK-PM-MLP),349890,38.1,,,8,338431,36.7,,,8
01,2014,Movement for a Better Hungary (Jobbik),108436,11.8,,,0,111129,12.1,,,0
01,2014,Politics Can Be Different (LMP),73490,8.0,,,0,82150,8.9,,,0
01,2014,Others,25556,2.8,,,0,34878,3.8,,,0
02,2014,Registered Electors,317278,,,,,317276,,,,
02,2014,Voters,188822,59.5,,,,188816,59.5,,,
02,2014,Invalid Ballots,2451,1.3,,,,2396,1.3,,,
02,2014,Valid Votes,186142,98.7,,,,186308,98.7,,,
02,2014,Fidesz-Hungarian Civic Union-KDNP,77456,41.6,,,4,74770,40.1,,,4
02,2014,Unity (MSZP-EGY&Uuml;TT-DK-PM-MLP),53154,28.6,,,0,51279,27.5,,,0
02,2014,Movement for a Better Hungary (Jobbik),35528,19.1,,,0,36352,19.5,,,0
02,2014,Politics Can Be Different (LMP),11468,6.2,,,0,11561,6.2,,,0
02,2014,Others,8536,4.6,,,0,12346,6.6,,,0
03,2014,Registered Electors,430192,,,,,430190,,,,
03,2014,Voters,246018,57.2,,,,245997,57.2,,,
03,2014,Invalid Ballots,2787,1.1,,,,2197,0.9,,,
03,2014,Valid Votes,243044,98.9,,,,243695,99.1,,,
03,2014,Fidesz-Hungarian Civic Union-KDNP,124842,51.4,,,6,122349,50.2,,,6
03,2014,Movement for a Better Hungary (Jobbik),50266,20.7,,,0,51441,21.1,,,0
03,2014,Unity (MSZP-EGY&Uuml;TT-DK-PM-MLP),50369,20.7,,,0,49338,20.2,,,0
03,2014,Politics Can Be Different (LMP),10021,4.1,,,0,11101,4.6,,,0
03,2014,Others,7546,3.1,,,0,9466,3.9,,,0
04,2014,Registered Electors,300402,,,,,300398,,,,
04,2014,Voters,175683,58.5,,,,175680,58.5,,,
04,2014,Invalid Ballots,2081,1.2,,,,1716,1.0,,,
04,2014,Valid Votes,173443,98.8,,,,173908,99.0,,,
04,2014,Fidesz-Hungarian Civic Union-KDNP,78410,45.2,,,4,76488,44.0,,,4
04,2014,Unity (MSZP-EGY&Uuml;TT-DK-PM-MLP),40202,23.2,,,0,40366,23.2,,,0
04,2014,Movement for a Better Hungary (Jobbik),38213,22.0,,,0,40261,23.2,,,0
04,2014,Politics Can Be Different (LMP),6842,3.9,,,0,7313,4.2,,,0
04,2014,Others,9776,5.6,,,0,9480,5.5,,,0
05,2014,Registered Electors,553680,,,,,553680,,,,
05,2014,Voters,324768,58.7,,,,324767,58.7,,,
05,2014,Invalid Ballots,4153,1.3,,,,3405,1.0,,,
05,2014,Valid Votes,320390,98.7,,,,321155,99.0,,,
05,2014,Fidesz-Hungarian Civic Union-KDNP,124536,38.9,,,6,123710,38.5,,,6
