Region,Year,Party,Votes,VotesPercentage,TotalSeats
IE,2020,Sinn Fein,535573.0,24.5,37.0
IE,2020,Independent,266353.0,12.2,19.0
IE,2020,Labour Party,95582.0,4.4,6.0
IE,2020,Solidarity-People Before Profit,57420.0,2.6,5.0
IE,2020,Independents 4 Change,8421.0,0.4,1.0
IE,2020,Renua,5473.0,0.3,0.0
IE,2020,Irish Democratic Party,2611.0,0.1,0.0
IE,2020,United People,43.0,0.0,0.0
IE,2020,Fianna Fail,484315.0,22.2,38.0
IE,2020,Fine Gael,455568.0,20.9,35.0
IE,2020,Green Party,155695.0,7.1,12.0
IE,2020,Social Democrats,63397.0,2.9,6.0
IE,2020,Aontu,41575.0,1.9,1.0
IE,2020,Irish Freedom Party,5495.0,0.3,0.0
IE,2020,National Party,4773.0,0.2,0.0
IE,2020,Workers' Party,1195.0,0.1,0.0
