,2014,Registered Electors,1552235,,
,2014,Voters,913491,58.9,
,2014,Valid Ballot Envelopes,912553,,
,2014,Social Democratic Party "Harmony",209887,23.0,24
,2014,Unity,199535,21.9,23
,2014,Union of Greens and Farmers,178210,19.5,21
,2014,National Alliance,151567,16.6,17
,2014,For Latvia from the Heart,62521,6.9,7
,2014,Alliance of Latvian Regions,60812,6.7,8
,2014,Latvian Russian Union,14390,1.6,0
,2014,Others,29616,3.2,0
1,2014,Registered Electors,500250,,
1,2014,Voters,310807,62.1,
1,2014,Valid Ballot Envelopes,310393,,
1,2014,Social Democratic Party "Harmony",111872,36.0,12
1,2014,Unity,65359,21.1,7
1,2014,National Alliance,49406,15.9,5
1,2014,Union of Greens and Farmers,26219,8.4,3
1,2014,Alliance of Latvian Regions,24238,7.8,3
1,2014,For Latvia from the Heart,17414,5.6,2
1,2014,Latvian Russian Union,5142,1.7,0
1,2014,Others,9227,3.0,0
2,2014,Registered Electors,401864,,
2,2014,Voters,253055,63.0,
2,2014,Valid Ballot Envelopes,252810,,
2,2014,Unity,65359,25.9,7
2,2014,Union of Greens and Farmers,54699,21.6,6
2,2014,National Alliance,51261,20.3,6
2,2014,Social Democratic Party "Harmony",31413,12.4,3
2,2014,Alliance of Latvian Regions,19069,7.5,2
2,2014,For Latvia from the Heart,18362,7.3,2
2,2014,Latvian Russian Union,1791,0.7,0
2,2014,Others,9266,3.7,0
3,2014,Registered Electors,225675,,
3,2014,Voters,106043,47.0,
3,2014,Valid Ballot Envelopes,105939,,
3,2014,Social Democratic Party "Harmony",41884,39.5,6
3,2014,Union of Greens and Farmers,19714,18.6,3
3,2014,Unity,16187,15.3,3
3,2014,For Latvia from the Heart,9070,8.6,1
3,2014,National Alliance,5442,5.1,1
3,2014,Alliance of Latvian Regions,4025,3.8,1
3,2014,Latvian Russian Union,4970,4.7,0
3,2014,Others,3628,3.4,0
4,2014,Registered Electors,198771,,
4,2014,Voters,116110,58.4,
4,2014,Valid Ballot Envelopes,116028,,
4,2014,Union of Greens and Farmers,41840,36.1,5
4,2014,Unity,23034,19.9,3
4,2014,National Alliance,21239,18.3,2
4,2014,Social Democratic Party "Harmony",10307,8.9,1
4,2014,For Latvia from the Heart,8369,7.2,1
4,2014,Alliance of Latvian Regions,6705,5.8,1
4,2014,Latvian Russian Union,575,0.5,0
4,2014,Others,3052,2.6,0
5,2014,Registered Electors,225675,,
5,2014,Voters,127476,56.5,
5,2014,Valid Ballot Envelopes,127383,,
5,2014,Union of Greens and Farmers,35738,28.1,4
5,2014,Unity,29596,23.2,3
5,2014,National Alliance,24219,19.0,3
5,2014,Social Democratic Party "Harmony",14411,11.3,2
5,2014,For Latvia from the Heart,9306,7.3,1
5,2014,Alliance of Latvian Regions,6775,5.3,1
5,2014,Latvian Russian Union,1912,1.5,0
5,2014,Others,4443,3.5,0
