,2001,Registered Electors,3359433,,
,2001,Total Votes,2535773,75.5,
,2001,Rejected Votes,13956,0.6,
,2001,Valid Votes,2521820,99.4,
,2001,Labour Party,612632,24.3,43
,2001,Conservative Party (H&oslash;yre),534852,21.2,38
,2001,Progress Party,369236,14.6,26
,2001,Socialist Left Party,316397,12.5,23
,2001,Christian Democratic Party (Kristelig Folkeparti),312839,12.4,22
,2001,Center Party,140287,5.6,10
,2001,Liberal Party (Venstre),98486,3.9,2
,2001,Coast Party,44010,1.7,1
,2001,Red Electoral Alliance,30015,1.2,0
,2001,Others,63066,2.5,0
01,2001,Registered Electors,191485,,
01,2001,Total Votes,141769,74.0,
01,2001,Rejected Votes,1040,0.7,
01,2001,Valid Votes,140729,99.3,
01,2001,Labour Party,39191,27.8,2
01,2001,Conservative Party (H&oslash;yre),27514,19.6,2
01,2001,Progress Party,24086,17.1,2
01,2001,Christian Democratic Party (Kristelig Folkeparti),17790,12.6,1
01,2001,Socialist Left Party,16023,11.4,1
01,2001,Center Party,6689,4.8,0
01,2001,Liberal Party (Venstre),3501,2.5,0
01,2001,Coast Party,822,0.6,0
01,2001,Red Electoral Alliance,776,0.6,0
01,2001,Others,4337,3.1,0
02,2001,Registered Electors,343896,,
02,2001,Total Votes,271960,79.1,
02,2001,Rejected Votes,2006,0.7,
02,2001,Valid Votes,269954,99.3,
02,2001,Conservative Party (H&oslash;yre),85618,31.7,5
02,2001,Labour Party,63643,23.6,3
02,2001,Progress Party,38830,14.4,3
02,2001,Socialist Left Party,33168,12.3,2
02,2001,Christian Democratic Party (Kristelig Folkeparti),21446,7.9,1
02,2001,Center Party,8747,3.2,1
02,2001,Liberal Party (Venstre),10855,4.0,0
02,2001,Red Electoral Alliance,1902,0.7,0
02,2001,Coast Party,1373,0.5,0
02,2001,Others,4372,1.6,0
03,2001,Registered Electors,382354,,
03,2001,Total Votes,290374,75.9,
03,2001,Rejected Votes,1414,0.5,
03,2001,Valid Votes,288960,99.5,
03,2001,Conservative Party (H&oslash;yre),83979,29.1,5
03,2001,Labour Party,64768,22.4,4
03,2001,Socialist Left Party,48800,16.9,3
03,2001,Progress Party,37564,13.0,2
03,2001,Christian Democratic Party (Kristelig Folkeparti),17536,6.1,1
03,2001,Liberal Party (Venstre),17139,5.9,1
03,2001,Red Electoral Alliance,8574,3.0,0
03,2001,Center Party,1988,0.7,0
03,2001,Coast Party,902,0.3,0
03,2001,Others,7710,2.7,0
04,2001,Registered Electors,145193,,
04,2001,Total Votes,107538,74.1,
04,2001,Rejected Votes,857,0.8,
04,2001,Valid Votes,106681,99.2,
04,2001,Labour Party,40125,37.6,3
04,2001,Socialist Left Party,14567,13.7,1
04,2001,Conservative Party (H&oslash;yre),13522,12.7,1
04,2001,Progress Party,11814,11.1,1
04,2001,Center Party,9660,9.1,1
04,2001,Christian Democratic Party (Kristelig Folkeparti),8259,7.7,1
04,2001,Liberal Party (Venstre),2255,2.1,0
04,2001,Coast Party,833,0.8,0
04,2001,Red Electoral Alliance,405,0.4,0
04,2001,Others,5241,4.9,0
05,2001,Registered Electors,141658,,
05,2001,Total Votes,104718,73.9,
05,2001,Rejected Votes,683,0.7,
05,2001,Valid Votes,104035,99.3,
05,2001,Labour Party,37903,36.4,3
05,2001,Conservative Party (H&oslash;yre),13245,12.7,1
05,2001,Center Party,12604,12.1,1
05,2001,Socialist Left Party,11613,11.2,1
05,2001,Progress Party,11189,10.8,1
05,2001,Christian Democratic Party (Kristelig Folkeparti),10418,10.0,0
05,2001,Liberal Party (Venstre),3445,3.3,0
05,2001,Red Electoral Alliance,514,0.5,0
05,2001,Others,3104,3.0,0
06,2001,Registered Electors,179912,,
06,2001,Total Votes,135265,75.2,
06,2001,Rejected Votes,1047,0.8,
06,2001,Valid Votes,134218,99.2,
06,2001,Labour Party,36870,27.5,2
06,2001,Conservative Party (H&oslash;yre),32975,24.6,2
06,2001,Progress Party,21773,16.2,1
06,2001,Socialist Left Party,15581,11.6,1
06,2001,Christian Democratic Party (Kristelig Folkeparti),12072,9.0,1
06,2001,Center Party,7519,5.6,0
06,2001,Liberal Party (Venstre),3551,2.6,0
06,2001,Coast Party,837,0.6,0
06,2001,Red Electoral Alliance,699,0.5,0
06,2001,Others,2341,1.7,0
07,2001,Registered Electors,162464,,
07,2001,Total Votes,124472,76.6,
07,2001,Rejected Votes,666,0.5,
07,2001,Valid Votes,123806,99.5,
07,2001,Conservative Party (H&oslash;yre),31524,25.5,2
07,2001,Labour Party,26763,21.6,2
07,2001,Progress Party,23122,18.7,2
07,2001,Socialist Left Party,14308,11.6,1
07,2001,Christian Democratic Party (Kristelig Folkeparti),13612,11.0,1
