Region,Year,Party,Votes,VotesPercentage,TotalSeats
PL,2005,Civic Platform (PO),2849259.0,24.1,133.0
PL,2005,Democratic Left Alliance (SLD),1335257.0,11.3,55.0
PL,2005,Polish Peasant Party (PSL),821656.0,7.0,25.0
PL,2005,Social Democracy of Poland (SDPL),459380.0,3.9,0.0
PL,2005,Others,541548.0,4.6,0.0
PL,2005,Law and Justice (PiS),3185714.0,27.0,155.0
PL,2005,Self-Defense (SRP),1347355.0,11.4,56.0
PL,2005,League of Polish Families (LPR),940762.0,8.0,34.0
PL,2005,German Minority,34469.0,0.3,2.0
PL,2005,Democratic Party (PD),289276.0,2.5,0.0
