Region,Year,Party,Votes,VotesPercentage,TotalSeats
SI,2014,Slovenian Democratic Party (SDS),181052.0,20.7,21.0
SI,2014,Social Democrats (SD),52249.0,6.0,6.0
SI,2014,New Slovenia - Christian Democrats (NSi),48846.0,5.6,5.0
SI,2014,Slovenian People's Party (SLS),34548.0,4.0,0.0
SI,2014,Slovenian National Party (SNS),19218.0,2.2,0.0
SI,2014,Civic List (DL),5556.0,0.6,0.0
SI,2014,Party of Miro Cerar (SMC),301563.0,34.5,36.0
SI,2014,Democratic Party of Slovenian Pensioners (DeSUS),88968.0,10.2,10.0
SI,2014,United Left (ZL),52189.0,6.0,6.0
SI,2014,Alliance of Alenka Bratusek (ZaAB),38293.0,4.4,4.0
SI,2014,Positive Slovenia (PS),25975.0,3.0,0.0
SI,2014,Slovenian Pirate Party (PSS),11737.0,1.3,0.0
SI,2014,Others,14097.0,1.6,2.0
