Region,Year,Party,Votes,VotesPercentage,TotalSeats
SK,2010,Slovak Democratic and Christian Union - Democratic Party (SDKU-DS),390042.0,15.4,28.0
SK,2010,Christian Democratic Movement (KDH),215755.0,8.5,15.0
SK,2010,Slovak National Party (SNS),128490.0,5.1,9.0
SK,2010,People's Party - Movement for a Democratic Slovakia (LS-HZDS),109480.0,4.3,0.0
SK,2010,Others,161940.0,6.4,0.0
SK,2010,Direction - Social Democracy (SMER),880111.0,34.8,62.0
SK,2010,Freedom and Solidarity (SaS),307287.0,12.1,22.0
SK,2010,MOST - HID,205538.0,8.1,14.0
SK,2010,Hungarian Coalition Party (SMK-MKP),109638.0,4.3,0.0
SK,2010,Communist Party of Slovakia (KSS),21104.0,0.8,0.0
