Region,Year,Party,Votes,VotesPercentage,TotalSeats
TR,2002,Republican People's Party (CHP),6113352.0,19.4,178.0
TR,2002,True Path Party (DYP),3008942.0,9.5,0.0
TR,2002,Young Party (GP),2285598.0,7.2,0.0
TR,2002,Motherland Party (ANAP),1618465.0,5.1,0.0
TR,2002,Democratic Left Party (DSP),384009.0,1.2,0.0
TR,2002,Justice and Development Party (AKP),10808229.0,34.3,363.0
TR,2002,Independents,314251.0,1.0,9.0
TR,2002,Nationalist Action Party (MHP),2635787.0,8.4,0.0
TR,2002,Democratic People's Party (DEHAP),1960660.0,6.2,0.0
TR,2002,Felicity Party (SP),785489.0,2.5,0.0
TR,2002,Others,1614001.0,5.1,0.0
