Region,Year,Party,Votes,VotesPercentage,TotalSeats
UA,2014,Petro Poroshenko Bloc,3437521.0,21.8,63.0
UA,2014,Opposition Bloc,1486203.0,9.4,27.0
UA,2014,"All-Ukrainian Union ""Fatherland""",894837.0,5.7,17.0
UA,2014,Communist Party of Ukraine,611923.0,3.9,0.0
UA,2014,Civil Position,489523.0,3.1,0.0
UA,2014,Right Sector,284943.0,1.8,0.0
UA,2014,People's Front,3488114.0,22.1,64.0
UA,2014,Samopomich Union,1729271.0,11.0,32.0
UA,2014,Radical Party of Oleh Lyashko,1173131.0,7.4,22.0
UA,2014,"All-Ukrainian Union ""Svoboda""",742022.0,4.7,0.0
UA,2014,Strong Ukraine,491471.0,3.1,0.0
UA,2014,"All-Ukrainian Agrarian Union ""Zastup""",418301.0,2.7,0.0
UA,2014,Others,506541.0,3.2,0.0
