Region,Year,Party,Votes,VotesPercentage,TotalSeats
UA,2019,Opposition Platform - For Life,1908111.0,13.1,37.0
UA,2019,European Solidarity,1184620.0,8.1,23.0
UA,2019,Radical Party of Oleh Lyashko,586384.0,4.0,0.0
UA,2019,Opposition Bloc,443195.0,3.0,0.0
UA,2019,Party of Shariy,327152.0,2.2,0.0
UA,2019,Civic Position,153225.0,1.0,0.0
UA,2019,Self-Reliance,91596.0,0.6,0.0
UA,2019,Movement of New Forces of Mikheil Saakashvili,67740.0,0.5,0.0
UA,2019,Power of the Law,20340.0,0.1,0.0
UA,2019,Social Justice,15967.0,0.1,0.0
UA,2019,Torch,7739.0,0.1,0.0
UA,2019,Servant of the People,6307793.0,43.2,124.0
UA,2019,"All-Ukrainian Union ""Fatherland""",1196303.0,8.2,24.0
UA,2019,Voice,851722.0,5.8,17.0
UA,2019,Strength and Honor,558652.0,3.8,0.0
UA,2019,Ukrainian Strategy of Hroysman,352934.0,2.4,0.0
UA,2019,"All-Ukrainian Union ""Svoboda""",315568.0,2.2,0.0
UA,2019,Party of Greens of Ukraine,96659.0,0.7,0.0
UA,2019,Agrarian Party of Ukraine,75509.0,0.5,0.0
UA,2019,Power of the People,27984.0,0.2,0.0
UA,2019,Patriot,16123.0,0.1,0.0
UA,2019,Independence,7970.0,0.1,0.0
