Region,Year,Party,Votes,VotesPercentage,TotalSeats
UK,2010,Labour,8606517.0,29.0,258.0
UK,2010,Democratic Unionist Party,168216.0,0.6,8.0
UK,2010,Sinn Fein,171942.0,0.6,5.0
UK,2010,Social Democratic and Labour Party,110970.0,0.4,3.0
UK,2010,Alliance Party,42762.0,0.1,1.0
UK,2010,United Kingdom Independence Party,919471.0,3.1,0.0
UK,2010,Ulster Conservatives and Unionists - New Force,102361.0,0.3,0.0
UK,2010,Independent Community and Health Concern,16150.0,0.1,0.0
UK,2010,Conservative,10703654.0,36.1,306.0
UK,2010,Liberal Democrat,6836248.0,23.0,57.0
UK,2010,Scottish National Party,491386.0,1.7,6.0
UK,2010,Plaid Cymru (Party of Wales),165394.0,0.6,3.0
UK,2010,Green,285612.0,1.0,1.0
UK,2010,Speaker,22860.0,0.1,1.0
UK,2010,British National Party,564321.0,1.9,0.0
UK,2010,Respect-Unity Coalition,33251.0,0.1,0.0
UK,2010,Others,446489.0,1.5,1.0
