Region,Year,Party,Votes,VotesPercentage,TotalSeats
UK,2019,Labour,10269076.0,32.1,202.0
UK,2019,Liberal Democrat,3696423.0,11.5,11.0
UK,2019,Sinn Fein,181853.0,0.6,7.0
UK,2019,Social Democratic and Labour Party,118737.0,0.4,2.0
UK,2019,Alliance Party,134115.0,0.4,1.0
UK,2019,The Brexit Party,642323.0,2.0,0.0
UK,2019,Others,377719.0,1.2,0.0
UK,2019,Conservative,13966451.0,43.6,365.0
UK,2019,Scottish National Party,1242380.0,3.9,48.0
UK,2019,Democratic Unionist Party,244127.0,0.8,8.0
UK,2019,Plaid Cymru (Party of Wales),153265.0,0.5,4.0
UK,2019,Green,865697.0,2.7,1.0
UK,2019,Speaker,26831.0,0.1,1.0
UK,2019,Ulster Unionist Party,93123.0,0.3,0.0
