"Region","Year","Party","Votes","VotesPercentage","TotalSeats","Coalition","TotalSeatsPercentage"
"AT",2013,"Austrian People's Party (OVP)",1125876,24,47,"No",0.256830601092896
"AT",2013,"The Greens - The Green Alternative (GRUNE)",582657,12.4,24,"No",0.131147540983607
"AT",2013,"The New Austria (NEOS)",232946,5,9,"No",0.0491803278688525
"AT",2013,"Communist Party of Austria (KPO)",48175,1,0,"No",0
"AT",2013,"Others",11645,0.2,0,"No",0
"AT",2013,"Social Democratic Party of Austria (SPO)",1258605,26.8,52,"No",0.284153005464481
"AT",2013,"Freedom Party of Austria (FPO)",962313,20.5,40,"No",0.218579234972678
"AT",2013,"Team Stronach (FRANK)",268679,5.7,11,"No",0.0601092896174863
"AT",2013,"Alliance for the Future of Austria (BZO)",165746,3.5,0,"No",0
"AT",2013,"Pirate Party of Austria (PIRAT)",36265,0.8,0,"No",0
