"Region","Year","Party","Votes","VotesPercentage","TotalSeats","Coalition","TotalSeatsPercentage"
"BE",2003,"Flemish Liberals and Democrats (VLD)",1009223,15.4,25,"No",0.166666666666667
"BE",2003,"Socialist Party (PS)",855992,13,25,"No",0.166666666666667
"BE",2003,"Reform Movement (MR)",748952,11.4,24,"No",0.16
"BE",2003,"Socialist Party. Different - Spirit (sp.a-spirit)",979750,14.9,23,"No",0.153333333333333
"BE",2003,"Christian Democratic & Flemish (CD&V)",870749,13.2,21,"No",0.14
"BE",2003,"Flemish Bloc (VB)",767605,11.7,18,"No",0.12
"BE",2003,"Humanist Democratic Center (CDH)",359660,5.5,8,"No",0.0533333333333333
"BE",2003,"Ecolo",201118,3.1,4,"No",0.0266666666666667
"BE",2003,"New Flemish Alliance (N-VA)",201399,3.1,1,"No",0.00666666666666667
"BE",2003,"National Front (FN)",130012,2,1,"No",0.00666666666666667
"BE",2003,"Agalev",162205,2.5,0,"No",0
"BE",2003,"Vivant",81337,1.2,0,"No",0
"BE",2003,"Others",204187,3.1,0,"No",0
