"Region","Year","Party","Votes","VotesPercentage","TotalSeats","Coalition","TotalSeatsPercentage"
"BE",2010,"New Flemish Alliance (N-VA)",1135617,17.4,27,"No",0.18
"BE",2010,"Socialist Party (PS)",894543,13.7,26,"No",0.173333333333333
"BE",2010,"Reform Movement (MR)",605617,9.3,18,"No",0.12
"BE",2010,"Christian Democratic & Flemish (CD&V)",707986,10.8,17,"No",0.113333333333333
"BE",2010,"Socialist Party. Different (sp.a)",602867,9.2,13,"No",0.0866666666666667
"BE",2010,"Open VLD (Flemish Liberals and Democrats)",563873,8.6,13,"No",0.0866666666666667
"BE",2010,"Flemish Interest (VB)",506697,7.8,12,"No",0.08
"BE",2010,"Humanist Democratic Center (CDH)",360441,5.5,9,"No",0.06
"BE",2010,"Ecolo",313047,4.8,8,"No",0.0533333333333333
"BE",2010,"Green!",285989,4.4,5,"No",0.0333333333333333
"BE",2010,"List Dedecker",150577,2.3,1,"No",0.00666666666666667
"BE",2010,"Popular Party (PP)",84005,1.3,1,"No",0.00666666666666667
"BE",2010,"Workers' Party of Belgium (PVDA/PTB)",101088,1.5,0,"No",0
"BE",2010,"National Front (FN)",33591,0.5,0,"No",0
"BE",2010,"Others",181429,2.8,0,"No",0
