"Region","Year","Party","Votes","VotesPercentage","TotalSeats","Coalition","TotalSeatsPercentage"
"BG",2013,"Coalition for Bulgaria",942541,26.6,84,"No",0.35
"BG",2013,"Coalition ""Attack""",258481,7.3,23,"No",0.0958333333333333
"BG",2013,"Bulgaria for Citizens Movement",115190,3.3,0,"No",0
"BG",2013,"IMRO - Bulgarian National Movement",66803,1.9,0,"No",0
"BG",2013,"Order, Lawfulness, Justice",59145,1.7,0,"No",0
"BG",2013,"Union of Democratic Forces",48681,1.4,0,"No",0
"BG",2013,"Citizens for European Development of Bulgaria",1081605,30.5,97,"No",0.404166666666667
"BG",2013,"Movement for Rights and Freedoms",400466,11.3,36,"No",0.15
"BG",2013,"National Front for the Salvation of Bulgaria",131169,3.7,0,"No",0
"BG",2013,"Democrats for a Strong Bulgaria",103638,2.9,0,"No",0
"BG",2013,"Lider",61482,1.7,0,"No",0
"BG",2013,"Center - Freedom and Dignity",57611,1.6,0,"No",0
"BG",2013,"Others",215383,6.1,0,"No",0
