"Region","Year","Party","Votes","VotesPercentage","TotalSeats","Coalition","TotalSeatsPercentage"
"CH",2015,"Swiss People's Party (SVP/UDC)",734189,29.4,65,"No",0.325
"CH",2015,"Social Democratic Party of Switzerland (SP/PS)",470344,18.8,43,"No",0.215
"CH",2015,"Radical Liberal Party (FDP/PLR)",408803,16.4,33,"No",0.165
"CH",2015,"Christian Democratic People's Party (CVP/PDC)",290328,11.6,27,"No",0.135
"CH",2015,"The Greens - Green Party of Switzerland (GPS/PES)",176079,7.1,11,"No",0.055
"CH",2015,"Green Liberal Party (GLP/PVL)",115611,4.6,7,"No",0.035
"CH",2015,"Conservative Democratic Party of Switzerland (BDP/PBD)",102614,4.1,7,"No",0.035
"CH",2015,"Evangelical People's Party (EVP/PEV)",47356,1.9,2,"No",0.01
"CH",2015,"Ticino League (Lega)",24713,1,2,"No",0.01
"CH",2015,"Swiss Labour Party (PdA/PST)",9978,0.4,1,"No",0.005
"CH",2015,"Geneva Citizens' Movement (MCR)",8069,0.3,1,"No",0.005
"CH",2015,"Federal Democratic Union (EDU/UDF)",29701,1.2,0,"No",0
"CH",2015,"Solidarities (Sol.)",11266,0.5,0,"No",0
"CH",2015,"Christian Social Party (CSP/PCS)",5208,0.2,0,"No",0
"CH",2015,"Swiss Democrats (SD/DS)",3053,0.1,0,"No",0
"CH",2015,"Others",58818,2.4,1,"No",0.005
