"Region","Year","Party","Votes","VotesPercentage","TotalSeats","Coalition","TotalSeatsPercentage"
"CZ",2013,"Czech Social Democratic Party (ČSSD)",1016829,20.5,50,"No",0.25
"CZ",2013,"Action of Dissatisfied Citizens (ANO 2011)",927240,18.7,47,"No",0.235
"CZ",2013,"Communist Party of Bohemia and Moravia (KSČM)",741044,14.9,33,"No",0.165
"CZ",2013,"Tradition Responsibility Prosperity 09 (TOP 09)",596357,12,26,"No",0.13
"CZ",2013,"Civic Democratic Party (ODS)",384174,7.7,16,"No",0.08
"CZ",2013,"Dawn of Direct Democracy (UPD)",342339,6.9,14,"No",0.07
"CZ",2013,"Christian and Democratic Union - Czechoslovak People's Party (KDU-ČSL)",336970,6.8,14,"No",0.07
"CZ",2013,"Green Party (SZ)",159025,3.2,0,"No",0
"CZ",2013,"Czech Pirate Party (ČPS)",132417,2.7,0,"No",0
"CZ",2013,"Free Citizens Party (SSO)",122564,2.5,0,"No",0
"CZ",2013,"Party of Citizens' Rights - Zemanovci (SPOZ)",75113,1.5,0,"No",0
"CZ",2013,"Others",135912,2.7,0,"No",0
