"Region","Region2","Year","Party","Votes","VotesPercentage","TotalSeats","Coalition","TotalSeatsPercentage"
"ES",NA,2016,"Partido Popular (PP)",7941236,33,137,"No",0.391428571428571
"ES",NA,2016,"Partido Socialista Obrero Español (PSOE)",5443846,22.6,85,"No",0.242857142857143
"ES",NA,2016,"Unidos Podemos (PODEMOS-IU-EQUO)",5087538,21.2,71,"No",0.202857142857143
"ES",NA,2016,"Ciudadanos-Partido de la Ciudadanía (C's)",3141570,13.1,32,"No",0.0914285714285714
"ES",NA,2016,"Esquerra Republicana de Catalunya-Catalunya Sí (ERC-CATSÍ)",632234,2.6,9,"No",0.0257142857142857
"ES",NA,2016,"Convergència Democràtica de Catalunya (CDC)",483488,2,8,"No",0.0228571428571429
"ES",NA,2016,"Euzko Alderdi Jeltzalea-Partido Nacionalista Vasco (EAJ-PNV)",287014,1.2,5,"No",0.0142857142857143
"ES",NA,2016,"Euskal Herria Bildu (EH Bildu)",184713,0.8,2,"No",0.00571428571428571
"ES",NA,2016,"Coalición Canaria-Partido Nacionalista Canario (CCa-PNC)",78253,0.3,1,"No",0.00285714285714286
"ES",NA,2016,"Partido Animalista Contra el Maltrato Animal (PACMA)",286702,1.2,0,"No",0
"ES",NA,2016,"Recortes Cero-Grupo Verde",51907,0.2,0,"No",0
"ES",NA,2016,"Unión Progreso y Democracia (UPyD)",50247,0.2,0,"No",0
"ES",NA,2016,"Vox (VOX)",47182,0.2,0,"No",0
"ES",NA,2016,"Nós-Candidatura Galega (BNG-NÓS)",45252,0.2,0,"No",0
"ES",NA,2016,"Otros",113492,0.5,0,"No",0
