"Region","Year","Party","Votes","VotesPercentage","TotalSeats","Coalition","TotalSeatsPercentage"
"FI",2003,"Center Party of Finland",689391,24.7,55,"No",0.275
"FI",2003,"Social Democratic Party of Finland",683223,24.5,53,"No",0.265
"FI",2003,"National Coalition Party",517904,18.6,40,"No",0.2
"FI",2003,"Left Alliance",277152,9.9,19,"No",0.095
"FI",2003,"Green League",223564,8,14,"No",0.07
"FI",2003,"Swedish People's Party in Finland",128824,4.6,8,"No",0.04
"FI",2003,"Christian Democrats in Finland",148987,5.3,7,"No",0.035
"FI",2003,"True Finns",43816,1.6,3,"No",0.015
"FI",2003,"Communist Party of Finland",21079,0.8,0,"No",0
"FI",2003,"Others",57817,2.1,1,"No",0.005
