"Region","Year","Party","FirstRoundVotes","FirstRoundPercentage","FirstRoundSeats","SecondRoundVotes","SecondRoundPercentage","SecondRoundSeats","TotalSeats","Coalition","TotalSeatsPercentage"
"FR",2012,"Union for a Popular Movement (UMP)",7037268,27.1,9,8740628,38,185,194,"No",0.336221837088388
"FR",2012,"New Center",569897,2.2,1,568319,2.5,11,12,"No",0.0207972270363951
"FR",2012,"Left Front",1793192,6.9,0,249498,1.1,10,10,"No",0.0173310225303293
"FR",2012,"National Front (FN)",3528663,13.6,0,842695,3.7,2,2,"No",0.00346620450606586
"FR",2012,"Center for France",458098,1.8,0,113196,0.5,2,2,"No",0.00346620450606586
"FR",2012,"Other left-wing parties",881555,3.4,1,709395,3.1,21,22,"No",0.0381282495667244
"FR",2012,"Socialist Party (PS)",7618326,29.4,22,9420889,40.9,258,280,"No",0.48526863084922
"FR",2012,"Europe Ecology - The Greens",1418264,5.5,1,829036,3.6,16,17,"No",0.0294627383015598
"FR",2012,"Left Radical Party (PRG)",428898,1.7,1,538331,2.3,11,12,"No",0.0207972270363951
"FR",2012,"Radical Party",321124,1.2,0,311199,1.4,6,6,"No",0.0103986135181976
"FR",2012,"Centrist Alliance",156026,0.6,0,123132,0.5,2,2,"No",0.00346620450606586
"FR",2012,"Other right-wing parties",910034,3.5,1,417940,1.8,14,15,"No",0.0259965337954939
"FR",2012,"Others",831514,3.3,0,165050,0.7,3,3,"No",0.00519930675909879
