"Region","Year","Party","Votes","VotesPercentage","TotalSeats","Coalition","TotalSeatsPercentage"
"IE",2020,"Sinn Fein",535573,24.5,37,"No",0.23125
"IE",2020,"Independent",266353,12.2,19,"No",0.11875
"IE",2020,"Labour Party",95582,4.4,6,"No",0.0375
"IE",2020,"Solidarity-People Before Profit",57420,2.6,5,"No",0.03125
"IE",2020,"Independents 4 Change",8421,0.4,1,"No",0.00625
"IE",2020,"Renua",5473,0.3,0,"No",0
"IE",2020,"Irish Democratic Party",2611,0.1,0,"No",0
"IE",2020,"United People",43,0,0,"No",0
"IE",2020,"Fianna Fail",484315,22.2,38,"No",0.2375
"IE",2020,"Fine Gael",455568,20.9,35,"No",0.21875
"IE",2020,"Green Party",155695,7.1,12,"No",0.075
"IE",2020,"Social Democrats",63397,2.9,6,"No",0.0375
"IE",2020,"Aontu",41575,1.9,1,"No",0.00625
"IE",2020,"Irish Freedom Party",5495,0.3,0,"No",0
"IE",2020,"National Party",4773,0.2,0,"No",0
"IE",2020,"Workers' Party",1195,0.1,0,"No",0
