"Region","Year","Party","Votes","VotesPercentage","TotalSeats","Coalition","TotalSeatsPercentage"
"IS",2016,"Independence Party",54992,29,21,"No",0.333333333333333
"IS",2016,"Left-Green Movement",30167,15.9,10,"No",0.158730158730159
"IS",2016,"Pirate Party",27466,14.5,10,"No",0.158730158730159
"IS",2016,"Progressive Party",21792,11.5,8,"No",0.126984126984127
"IS",2016,"Reform",19870,10.5,7,"No",0.111111111111111
"IS",2016,"Bright Future",13578,7.2,4,"No",0.0634920634920635
"IS",2016,"Social Democratic Alliance",10894,5.7,3,"No",0.0476190476190476
"IS",2016,"People's Party",6707,3.5,0,"No",0
"IS",2016,"Dawn",3275,1.7,0,"No",0
"IS",2016,"People's Front of Iceland",571,0.3,0,"No",0
"IS",2016,"Icelandic National Alliance",303,0.2,0,"No",0
"IS",2016,"Humanist Party",33,0,0,"No",0
