"Region","District","Year","TypeOfBallot","Party","Votes","VotesPercentage","TotalSeats","Coalition","TotalSeatsPercentage"
"IT",NA,2008,"P","Il Popolo della Libertà",13629464,37.4,272,"No",0.440842787682334
"IT",NA,2008,"P","Lega Nord",3024543,8.3,60,"No",0.0972447325769854
"IT",NA,2008,"P","Movimento per l'Autonomia",410499,1.1,8,"No",0.0129659643435981
"IT",NA,2008,"P","Partito Democratico",12095306,33.2,211,"No",0.341977309562399
"IT",NA,2008,"P","Italia dei Valori",1594024,4.4,28,"No",0.0453808752025932
"IT",NA,2008,"P","Unione di Centro",2050229,5.6,36,"No",0.0583468395461912
"IT",NA,2008,"P","Südtiroler Volkspartei (SVP)",147718,0.4,2,"No",0.00324149108589951
"IT",NA,2008,"P","La Sinistra l'Arcobaleno",1124298,3.1,0,"No",0
"IT",NA,2008,"P","La Destra - Fiamma Tricolore",884961,2.4,0,"No",0
"IT",NA,2008,"P","Partito Socialista",355495,1,0,"No",0
"IT",NA,2008,"P","Others",1140717,3.1,0,"No",0
