"Region","Year","Party","Votes","VotesPercentage","TotalSeats","Coalition","TotalSeatsPercentage"
"LV",2018,"Social Democratic Party Harmony",167117,19.8,23,"No",0.23
"LV",2018,"KPV LV (Who owns the State?)",120264,14.3,16,"No",0.16
"LV",2018,"New Conservative Party",114694,13.6,16,"No",0.16
"LV",2018,"Development/For!",101685,12,13,"No",0.13
"LV",2018,"National Alliance",92963,11,13,"No",0.13
"LV",2018,"Union of Greens and Farmers",83675,9.9,11,"No",0.11
"LV",2018,"New Unity",56542,6.7,8,"No",0.08
"LV",2018,"Alliance of Latvian Regions",35018,4.1,0,"No",0
"LV",2018,"Latvian Russian Union",27014,3.2,0,"No",0
"LV",2018,"The Progressives",22078,2.6,0,"No",0
"LV",2018,"For Latvia from the Heart",7114,0.8,0,"No",0
"LV",2018,"Others",10836,1.3,0,"No",0
