"Region","Year","Party","Votes","VotesPercentage","TotalSeats","Coalition","TotalSeatsPercentage"
"NL",2017,"People's Party for Freedom and Democracy (VVD)",2238351,21.3,33,"No",0.22
"NL",2017,"Party for Freedom (PVV)",1372941,13.1,20,"No",0.133333333333333
"NL",2017,"Christian Democratic Appeal (CDA)",1301796,12.4,19,"No",0.126666666666667
"NL",2017,"Democrats 66 (D66)",1285819,12.2,19,"No",0.126666666666667
"NL",2017,"Green Left (GL)",959600,9.1,14,"No",0.0933333333333333
"NL",2017,"Socialist Party (SP)",955633,9.1,14,"No",0.0933333333333333
"NL",2017,"Labour Party (PvdA)",599699,5.7,9,"No",0.06
"NL",2017,"Christian Union (CU)",356271,3.4,5,"No",0.0333333333333333
"NL",2017,"Party for the Animals (PvdD)",335214,3.2,5,"No",0.0333333333333333
"NL",2017,"50Plus Party (50PLUS)",327131,3.1,4,"No",0.0266666666666667
"NL",2017,"Political Reformed Party (SGP)",218950,2.1,3,"No",0.02
"NL",2017,"Denk (DENK)",216147,2.1,3,"No",0.02
"NL",2017,"Forum for Democracy (FvD)",187162,1.8,2,"No",0.0133333333333333
"NL",2017,"For the Netherlands (VNL)",38209,0.4,0,"No",0
"NL",2017,"Pirate Party of the Netherlands (PPNL)",35478,0.3,0,"No",0
"NL",2017,"Others",87640,0.8,0,"No",0
