"Region","Year","Party","Votes","VotesPercentage","TotalSeats","Coalition","TotalSeatsPercentage"
"PL",2015,"Civic Platform (PO)",3661474,24.1,138,"No",0.3
"PL",2015,"Modern (.N)",1155370,7.6,28,"No",0.0608695652173913
"PL",2015,"German Minority",27530,0.2,1,"No",0.00217391304347826
"PL",2015,"KORWiN",722999,4.8,0,"No",0
"PL",2015,"Others",105191,0.7,0,"No",0
"PL",2015,"Law and Justice (PiS)",5711687,37.6,235,"No",0.510869565217391
"PL",2015,"Kukiz'15 (K'15)",1339094,8.8,42,"No",0.091304347826087
"PL",2015,"Polish Peasant Party (PSL)",779875,5.1,16,"No",0.0347826086956522
"PL",2015,"United Left (ZL)",1147102,7.5,0,"No",0
"PL",2015,"Together",550349,3.6,0,"No",0
