"Region","Year","Party","Votes","VotesPercentage","TotalSeats","Coalition","TotalSeatsPercentage"
"PT",2002,"Partido Social Democrata (PPD/PSD)",2181672,40.1,102,"No",0.451327433628319
"PT",2002,"Partido Socialista (PS)",2055986,37.8,95,"No",0.420353982300885
"PT",2002,"Partido Popular (CDS-PP)",475515,8.8,14,"No",0.0619469026548673
"PT",2002,"CDU - Coligação Democrática Unitária (PCP-PEV)",378640,7,12,"No",0.0530973451327434
"PT",2002,"Bloco de Esquerda (B.E.)",153477,2.8,3,"No",0.0132743362831858
"PT",2002,"Partido Comunista dos Trabalhadores Portugueses (PCTP/MRPP)",35930,0.7,0,"No",0
"PT",2002,"Movimento o Partido da Terra (MPT)",15226,0.3,0,"No",0
"PT",2002,"Partido Popular Monárquico (PPM)",12508,0.2,0,"No",0
"PT",2002,"Partido Humanista (P.H.)",11630,0.2,0,"No",0
"PT",2002,"Partido Nacional Renovador (P.N.R.)",3962,0.1,0,"No",0
"PT",2002,"Partido Operário de Unidade Socialista (POUS)",3905,0.1,0,"No",0
