"Region","Year","Party","Votes","VotesPercentage","TotalSeats","Coalition","TotalSeatsPercentage"
"SI",2011,"Slovenian Democratic Party (SDS)",288719,26.2,26,"No",0.288888888888889
"SI",2011,"Gregor Virant's Civic List (LGV)",92282,8.4,8,"No",0.0888888888888889
"SI",2011,"Slovenian People's Party (SLS)",75311,6.8,6,"No",0.0666666666666667
"SI",2011,"Slovenian National Party (SNS)",19786,1.8,0,"No",0
"SI",2011,"Others",49054,4.5,2,"No",0.0222222222222222
"SI",2011,"Zoran Jankovic's List - Positive Slovenia (LZJ-PS)",314273,28.5,28,"No",0.311111111111111
"SI",2011,"Social Democrats (SD)",115952,10.5,10,"No",0.111111111111111
"SI",2011,"Democratic Party of Slovenian Pensioners (DeSUS)",76853,7,6,"No",0.0666666666666667
"SI",2011,"New Slovenia - Christian People's Party (NSi)",53758,4.9,4,"No",0.0444444444444444
"SI",2011,"Liberal Democracy of Slovenia (LDS)",16268,1.5,0,"No",0
