"Region","Year","Party","Votes","VotesPercentage","TotalSeats","Coalition","TotalSeatsPercentage"
"SK",2002,"Slovak Democratic and Christian Union (SDKU)",433953,15.1,28,"No",0.186666666666667
"SK",2002,"Hungarian Coalition Party (SMK-MKP)",321069,11.2,20,"No",0.133333333333333
"SK",2002,"Alliance of the New Citizen (ANO)",230309,8,15,"No",0.1
"SK",2002,"Real Slovak National Party (PSNS)",105084,3.7,0,"No",0
"SK",2002,"Party of the Democratic Left (SDL)",39163,1.4,0,"No",0
"SK",2002,"Movement for a Democratic Slovakia (HZDS)",560691,19.5,36,"No",0.24
"SK",2002,"Direction (SMER)",387100,13.5,25,"No",0.166666666666667
"SK",2002,"Christian Democratic Movement (KDH)",237202,8.3,15,"No",0.1
"SK",2002,"Communist Party of Slovakia (KSS)",181872,6.3,11,"No",0.0733333333333333
"SK",2002,"Slovak National Party (SNS)",95633,3.3,0,"No",0
"SK",2002,"Others",283005,9.8,0,"No",0
