"Region","Year","Party","Votes","VotesPercentage","TotalSeats","Coalition","TotalSeatsPercentage"
"TR",2002,"Republican People's Party (CHP)",6113352,19.4,178,"No",0.323636363636364
"TR",2002,"True Path Party (DYP)",3008942,9.5,0,"No",0
"TR",2002,"Young Party (GP)",2285598,7.2,0,"No",0
"TR",2002,"Motherland Party (ANAP)",1618465,5.1,0,"No",0
"TR",2002,"Democratic Left Party (DSP)",384009,1.2,0,"No",0
"TR",2002,"Justice and Development Party (AKP)",10808229,34.3,363,"No",0.66
"TR",2002,"Independents",314251,1,9,"No",0.0163636363636364
"TR",2002,"Nationalist Action Party (MHP)",2635787,8.4,0,"No",0
"TR",2002,"Democratic People's Party (DEHAP)",1960660,6.2,0,"No",0
"TR",2002,"Felicity Party (SP)",785489,2.5,0,"No",0
"TR",2002,"Others",1614001,5.1,0,"No",0
